W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] 
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] *****************************************
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 teacher step=1360/5000 loss=0.06484 lr=1.618e-04
n_plus_2 teacher step=1380/5000 loss=0.07005 lr=1.609e-04
n_plus_2 teacher step=1400/5000 loss=0.06678 lr=1.600e-04
n_plus_2 teacher step=1420/5000 loss=0.07242 lr=1.591e-04
n_plus_2 teacher step=1440/5000 loss=0.06844 lr=1.582e-04
n_plus_2 teacher step=1460/5000 loss=0.07089 lr=1.573e-04
n_plus_2 teacher step=1480/5000 loss=0.06645 lr=1.564e-04
n_plus_2 teacher step=1500/5000 loss=0.07158 lr=1.556e-04
n_plus_2 teacher step=1520/5000 loss=0.05895 lr=1.547e-04
n_plus_2 teacher step=1540/5000 loss=0.06044 lr=1.538e-04
n_plus_2 teacher step=1560/5000 loss=0.06293 lr=1.529e-04
n_plus_2 teacher step=1580/5000 loss=0.06570 lr=1.520e-04
n_plus_2 teacher step=1600/5000 loss=0.07642 lr=1.511e-04
n_plus_2 teacher step=1620/5000 loss=0.06581 lr=1.502e-04
n_plus_2 teacher step=1640/5000 loss=0.06657 lr=1.493e-04
n_plus_2 teacher step=1660/5000 loss=0.07346 lr=1.484e-04
n_plus_2 teacher step=1680/5000 loss=0.06533 lr=1.476e-04
n_plus_2 teacher step=1700/5000 loss=0.06852 lr=1.467e-04
n_plus_2 teacher step=1720/5000 loss=0.06846 lr=1.458e-04
n_plus_2 teacher step=1740/5000 loss=0.06081 lr=1.449e-04
n_plus_2 teacher step=1760/5000 loss=0.06332 lr=1.440e-04
n_plus_2 teacher step=1780/5000 loss=0.06367 lr=1.431e-04
n_plus_2 teacher step=1800/5000 loss=0.06569 lr=1.422e-04
n_plus_2 teacher step=1820/5000 loss=0.05665 lr=1.413e-04
n_plus_2 teacher step=1840/5000 loss=0.06169 lr=1.404e-04
n_plus_2 teacher step=1860/5000 loss=0.05815 lr=1.396e-04
n_plus_2 teacher step=1880/5000 loss=0.06888 lr=1.387e-04
n_plus_2 teacher step=1900/5000 loss=0.06066 lr=1.378e-04
n_plus_2 teacher step=1920/5000 loss=0.06485 lr=1.369e-04
n_plus_2 teacher step=1940/5000 loss=0.05813 lr=1.360e-04
n_plus_2 teacher step=1960/5000 loss=0.06358 lr=1.351e-04
n_plus_2 teacher step=1980/5000 loss=0.06525 lr=1.342e-04
n_plus_2 teacher step=2000/5000 loss=0.06812 lr=1.333e-04
n_plus_2 teacher step=2020/5000 loss=0.06337 lr=1.324e-04
n_plus_2 teacher step=2040/5000 loss=0.06114 lr=1.316e-04
n_plus_2 teacher step=2060/5000 loss=0.05666 lr=1.307e-04
n_plus_2 teacher step=2080/5000 loss=0.05608 lr=1.298e-04
n_plus_2 teacher step=2100/5000 loss=0.06000 lr=1.289e-04
n_plus_2 teacher step=2120/5000 loss=0.05989 lr=1.280e-04
n_plus_2 teacher step=2140/5000 loss=0.05902 lr=1.271e-04
n_plus_2 teacher step=2160/5000 loss=0.05607 lr=1.262e-04
n_plus_2 teacher step=2180/5000 loss=0.06505 lr=1.253e-04
