n_plus_2 student step=1120/20000 loss=0.48008 lr=1.121e-04
n_plus_2 student step=1140/20000 loss=0.48686 lr=1.141e-04
n_plus_2 student step=1160/20000 loss=0.47834 lr=1.161e-04
n_plus_2 student step=1180/20000 loss=0.47928 lr=1.181e-04
n_plus_2 student step=1200/20000 loss=0.49062 lr=1.201e-04
n_plus_2 student step=1220/20000 loss=0.49117 lr=1.221e-04
n_plus_2 student step=1240/20000 loss=0.47998 lr=1.241e-04
n_plus_2 student step=1260/20000 loss=0.50538 lr=1.261e-04
n_plus_2 student step=1280/20000 loss=0.48986 lr=1.281e-04
n_plus_2 student step=1300/20000 loss=0.48919 lr=1.301e-04
n_plus_2 student step=1320/20000 loss=0.50318 lr=1.321e-04
n_plus_2 student step=1340/20000 loss=0.50637 lr=1.341e-04
n_plus_2 student step=1360/20000 loss=0.50393 lr=1.361e-04
n_plus_2 student step=1380/20000 loss=0.50887 lr=1.381e-04
n_plus_2 student step=1400/20000 loss=0.50983 lr=1.401e-04
n_plus_2 student step=1420/20000 loss=0.50578 lr=1.421e-04
n_plus_2 student step=1440/20000 loss=0.50573 lr=1.441e-04
n_plus_2 student step=1460/20000 loss=0.52534 lr=1.461e-04
n_plus_2 student step=1480/20000 loss=0.51589 lr=1.481e-04
n_plus_2 student step=1500/20000 loss=0.51261 lr=1.501e-04
n_plus_2 student step=1520/20000 loss=0.50905 lr=1.521e-04
n_plus_2 student step=1540/20000 loss=0.54451 lr=1.541e-04
n_plus_2 student step=1560/20000 loss=0.52969 lr=1.561e-04
n_plus_2 student step=1580/20000 loss=0.52343 lr=1.581e-04
n_plus_2 student step=1600/20000 loss=0.54653 lr=1.601e-04
n_plus_2 student step=1620/20000 loss=0.53844 lr=1.621e-04
n_plus_2 student step=1640/20000 loss=0.55258 lr=1.641e-04
n_plus_2 student step=1660/20000 loss=0.54868 lr=1.661e-04
n_plus_2 student step=1680/20000 loss=0.55774 lr=1.681e-04
n_plus_2 student step=1700/20000 loss=0.55525 lr=1.701e-04
n_plus_2 student step=1720/20000 loss=0.55622 lr=1.721e-04
n_plus_2 student step=1740/20000 loss=0.56856 lr=1.741e-04
n_plus_2 student step=1760/20000 loss=0.57228 lr=1.761e-04
n_plus_2 student step=1780/20000 loss=0.56678 lr=1.781e-04
n_plus_2 student step=1800/20000 loss=0.56164 lr=1.801e-04
n_plus_2 student step=1820/20000 loss=0.56814 lr=1.821e-04
n_plus_2 student step=1840/20000 loss=0.56969 lr=1.841e-04
n_plus_2 student step=1860/20000 loss=0.58154 lr=1.861e-04
n_plus_2 student step=1880/20000 loss=0.58760 lr=1.881e-04
n_plus_2 student step=1900/20000 loss=0.57684 lr=1.901e-04
n_plus_2 student step=1920/20000 loss=0.59434 lr=1.921e-04
n_plus_2 student step=1940/20000 loss=0.59725 lr=1.941e-04
n_plus_2 student step=1960/20000 loss=0.60032 lr=1.961e-04
n_plus_2 student step=1980/20000 loss=0.59834 lr=1.981e-04
n_plus_2 student step=2000/20000 loss=0.59327 lr=2.000e-04
n_plus_2 student step=2020/20000 loss=0.59507 lr=1.998e-04
n_plus_2 student step=2040/20000 loss=0.62040 lr=1.996e-04
n_plus_2 student step=2060/20000 loss=0.60329 lr=1.993e-04
n_plus_2 student step=2080/20000 loss=0.58768 lr=1.991e-04
n_plus_2 student step=2100/20000 loss=0.60947 lr=1.989e-04
n_plus_2 student step=2120/20000 loss=0.59380 lr=1.987e-04
n_plus_2 student step=2140/20000 loss=0.59936 lr=1.984e-04
n_plus_2 student step=2160/20000 loss=0.60007 lr=1.982e-04
n_plus_2 student step=2180/20000 loss=0.59501 lr=1.980e-04
n_plus_2 student step=2200/20000 loss=0.60775 lr=1.978e-04
n_plus_2 student step=2220/20000 loss=0.58919 lr=1.976e-04
n_plus_2 student step=2240/20000 loss=0.58554 lr=1.973e-04
n_plus_2 student step=2260/20000 loss=0.59300 lr=1.971e-04
n_plus_2 student step=2280/20000 loss=0.59617 lr=1.969e-04
n_plus_2 student step=2300/20000 loss=0.58442 lr=1.967e-04
n_plus_2 student step=2320/20000 loss=0.60028 lr=1.964e-04
n_plus_2 student step=2340/20000 loss=0.58976 lr=1.962e-04
n_plus_2 student step=2360/20000 loss=0.58712 lr=1.960e-04
n_plus_2 student step=2380/20000 loss=0.58462 lr=1.958e-04
n_plus_2 student step=2400/20000 loss=0.58439 lr=1.956e-04
n_plus_2 student step=2420/20000 loss=0.58930 lr=1.953e-04
n_plus_2 student step=2440/20000 loss=0.59029 lr=1.951e-04
n_plus_2 student step=2460/20000 loss=0.58739 lr=1.949e-04
n_plus_2 student step=2480/20000 loss=0.58984 lr=1.947e-04
n_plus_2 student step=2500/20000 loss=0.57866 lr=1.944e-04
n_plus_2 student step=2520/20000 loss=0.58658 lr=1.942e-04
n_plus_2 student step=2540/20000 loss=0.58232 lr=1.940e-04
n_plus_2 student step=2560/20000 loss=0.57958 lr=1.938e-04
n_plus_2 student step=2580/20000 loss=0.58079 lr=1.936e-04
n_plus_2 student step=2600/20000 loss=0.59353 lr=1.933e-04
n_plus_2 student step=2620/20000 loss=0.58955 lr=1.931e-04
n_plus_2 student step=2640/20000 loss=0.58401 lr=1.929e-04
n_plus_2 student step=2660/20000 loss=0.57251 lr=1.927e-04
n_plus_2 student step=2680/20000 loss=0.57306 lr=1.924e-04
n_plus_2 student step=2700/20000 loss=0.57917 lr=1.922e-04
n_plus_2 student step=2720/20000 loss=0.58364 lr=1.920e-04
n_plus_2 student step=2740/20000 loss=0.57231 lr=1.918e-04
n_plus_2 student step=2760/20000 loss=0.57687 lr=1.916e-04
n_plus_2 student step=2780/20000 loss=0.57214 lr=1.913e-04
n_plus_2 student step=2800/20000 loss=0.58104 lr=1.911e-04
n_plus_2 student step=2820/20000 loss=0.59203 lr=1.909e-04
n_plus_2 student step=2840/20000 loss=0.57010 lr=1.907e-04
n_plus_2 student step=2860/20000 loss=0.58877 lr=1.904e-04
n_plus_2 student step=2880/20000 loss=0.58531 lr=1.902e-04
n_plus_2 student step=2900/20000 loss=0.57046 lr=1.900e-04
n_plus_2 student step=2920/20000 loss=0.58234 lr=1.898e-04
n_plus_2 student step=2940/20000 loss=0.56795 lr=1.896e-04
n_plus_2 student step=2960/20000 loss=0.58930 lr=1.893e-04
n_plus_2 student step=2980/20000 loss=0.56983 lr=1.891e-04
n_plus_2 student step=3000/20000 loss=0.57682 lr=1.889e-04
n_plus_2 student step=3020/20000 loss=0.57277 lr=1.887e-04
n_plus_2 student step=3040/20000 loss=0.58452 lr=1.884e-04
n_plus_2 student step=3060/20000 loss=0.56099 lr=1.882e-04
n_plus_2 student step=3080/20000 loss=0.58191 lr=1.880e-04
n_plus_2 student step=3100/20000 loss=0.59493 lr=1.878e-04
n_plus_2 student step=3120/20000 loss=0.57570 lr=1.876e-04
n_plus_2 student step=3140/20000 loss=0.57832 lr=1.873e-04
n_plus_2 student step=3160/20000 loss=0.55986 lr=1.871e-04
n_plus_2 student step=3180/20000 loss=0.57960 lr=1.869e-04
n_plus_2 student step=3200/20000 loss=0.57459 lr=1.867e-04
n_plus_2 student step=3220/20000 loss=0.57524 lr=1.864e-04
n_plus_2 student step=3240/20000 loss=0.58009 lr=1.862e-04
n_plus_2 student step=3260/20000 loss=0.56159 lr=1.860e-04
n_plus_2 student step=3280/20000 loss=0.56615 lr=1.858e-04
n_plus_2 student step=3300/20000 loss=0.57620 lr=1.856e-04
n_plus_2 student step=3320/20000 loss=0.57110 lr=1.853e-04
n_plus_2 student step=3340/20000 loss=0.58128 lr=1.851e-04
n_plus_2 student step=3360/20000 loss=0.58030 lr=1.849e-04
n_plus_2 student step=3380/20000 loss=0.56983 lr=1.847e-04
n_plus_2 student step=3400/20000 loss=0.57784 lr=1.844e-04
n_plus_2 student step=3420/20000 loss=0.56657 lr=1.842e-04
n_plus_2 student step=3440/20000 loss=0.56637 lr=1.840e-04
n_plus_2 student step=3460/20000 loss=0.55203 lr=1.838e-04
n_plus_2 student step=3480/20000 loss=0.56533 lr=1.836e-04
n_plus_2 student step=3500/20000 loss=0.57806 lr=1.833e-04
n_plus_2 student step=3520/20000 loss=0.57241 lr=1.831e-04
n_plus_2 student step=3540/20000 loss=0.57750 lr=1.829e-04
n_plus_2 student step=3560/20000 loss=0.58698 lr=1.827e-04
n_plus_2 student step=3580/20000 loss=0.56536 lr=1.824e-04
n_plus_2 student step=3600/20000 loss=0.56189 lr=1.822e-04
n_plus_2 student step=3620/20000 loss=0.57000 lr=1.820e-04
n_plus_2 student step=3640/20000 loss=0.55965 lr=1.818e-04
n_plus_2 student step=3660/20000 loss=0.56499 lr=1.816e-04
n_plus_2 student step=3680/20000 loss=0.57726 lr=1.813e-04
n_plus_2 student step=3700/20000 loss=0.55971 lr=1.811e-04
n_plus_2 student step=3720/20000 loss=0.56528 lr=1.809e-04
n_plus_2 student step=3740/20000 loss=0.55611 lr=1.807e-04
n_plus_2 student step=3760/20000 loss=0.56373 lr=1.804e-04
n_plus_2 student step=3780/20000 loss=0.56195 lr=1.802e-04
n_plus_2 student step=3800/20000 loss=0.58131 lr=1.800e-04
n_plus_2 student step=3820/20000 loss=0.57218 lr=1.798e-04
n_plus_2 student step=3840/20000 loss=0.56677 lr=1.796e-04
n_plus_2 student step=3860/20000 loss=0.57555 lr=1.793e-04
n_plus_2 student step=3880/20000 loss=0.55138 lr=1.791e-04
n_plus_2 student step=3900/20000 loss=0.56865 lr=1.789e-04
n_plus_2 student step=3920/20000 loss=0.57017 lr=1.787e-04
n_plus_2 student step=3940/20000 loss=0.56603 lr=1.784e-04
n_plus_2 student step=3960/20000 loss=0.55650 lr=1.782e-04
n_plus_2 student step=3980/20000 loss=0.55584 lr=1.780e-04
n_plus_2 student step=4000/20000 loss=0.56009 lr=1.778e-04
n_plus_2 student step=4020/20000 loss=0.56600 lr=1.776e-04
n_plus_2 student step=4040/20000 loss=0.56650 lr=1.773e-04
n_plus_2 student step=4060/20000 loss=0.56331 lr=1.771e-04
n_plus_2 student step=4080/20000 loss=0.55059 lr=1.769e-04
n_plus_2 student step=4100/20000 loss=0.56361 lr=1.767e-04
n_plus_2 student step=4120/20000 loss=0.56987 lr=1.764e-04
n_plus_2 student step=4140/20000 loss=0.56282 lr=1.762e-04
n_plus_2 student step=4160/20000 loss=0.56667 lr=1.760e-04
n_plus_2 student step=4180/20000 loss=0.56099 lr=1.758e-04
n_plus_2 student step=4200/20000 loss=0.55411 lr=1.756e-04
n_plus_2 student step=4220/20000 loss=0.56512 lr=1.753e-04
n_plus_2 student step=4240/20000 loss=0.55646 lr=1.751e-04
n_plus_2 student step=4260/20000 loss=0.56187 lr=1.749e-04
n_plus_2 student step=4280/20000 loss=0.56276 lr=1.747e-04
n_plus_2 student step=4300/20000 loss=0.56768 lr=1.744e-04
n_plus_2 student step=4320/20000 loss=0.55113 lr=1.742e-04
n_plus_2 student step=4340/20000 loss=0.55705 lr=1.740e-04
n_plus_2 student step=4360/20000 loss=0.55262 lr=1.738e-04
n_plus_2 student step=4380/20000 loss=0.56549 lr=1.736e-04
n_plus_2 student step=4400/20000 loss=0.54345 lr=1.733e-04
n_plus_2 student step=4420/20000 loss=0.56382 lr=1.731e-04
n_plus_2 student step=4440/20000 loss=0.55062 lr=1.729e-04
n_plus_2 student step=4460/20000 loss=0.57270 lr=1.727e-04
n_plus_2 student step=4480/20000 loss=0.56668 lr=1.724e-04
n_plus_2 student step=4500/20000 loss=0.56313 lr=1.722e-04
n_plus_2 student step=4520/20000 loss=0.56289 lr=1.720e-04
n_plus_2 student step=4540/20000 loss=0.55781 lr=1.718e-04
n_plus_2 student step=4560/20000 loss=0.55079 lr=1.716e-04
n_plus_2 student step=4580/20000 loss=0.56685 lr=1.713e-04
n_plus_2 student step=4600/20000 loss=0.56443 lr=1.711e-04
n_plus_2 student step=4620/20000 loss=0.55799 lr=1.709e-04
n_plus_2 student step=4640/20000 loss=0.54516 lr=1.707e-04
n_plus_2 student step=4660/20000 loss=0.55117 lr=1.704e-04
n_plus_2 student step=4680/20000 loss=0.56025 lr=1.702e-04
n_plus_2 student step=4700/20000 loss=0.56068 lr=1.700e-04
n_plus_2 student step=4720/20000 loss=0.55757 lr=1.698e-04
n_plus_2 student step=4740/20000 loss=0.55767 lr=1.696e-04
n_plus_2 student step=4760/20000 loss=0.55039 lr=1.693e-04
n_plus_2 student step=4780/20000 loss=0.56233 lr=1.691e-04
n_plus_2 student step=4800/20000 loss=0.55221 lr=1.689e-04
n_plus_2 student step=4820/20000 loss=0.55710 lr=1.687e-04
n_plus_2 student step=4840/20000 loss=0.55655 lr=1.684e-04
n_plus_2 student step=4860/20000 loss=0.55212 lr=1.682e-04
n_plus_2 student step=4880/20000 loss=0.57232 lr=1.680e-04
n_plus_2 student step=4900/20000 loss=0.54740 lr=1.678e-04
n_plus_2 student step=4920/20000 loss=0.54856 lr=1.676e-04
n_plus_2 student step=4940/20000 loss=0.54777 lr=1.673e-04
