edge_id,head_id,relation_type,tail_id,confidence,evidence_ids,properties_json,graph_scope,active
edge_599a9acf0136e7abc046,kg_datasetrecord_dr_dabb480cf0eba666e1d4,has_repeat_unit,kg_repeatunit_ru_d728809d29077197a6f5,1.0,[],{},strict,true
edge_599dca7b81aef6781bd5,kg_datasetrecord_dr_431fe20c76f7730ce350,has_repeat_unit,kg_repeatunit_ru_253258394928f7ddba89,1.0,[],{},strict,true
edge_59a502c6fe2a52561ff5,kg_datasetrecord_dr_ab55b5aead4a47665aef,has_repeat_unit,kg_repeatunit_ru_46e6ecb16a404c6660dd,1.0,[],{},strict,true
edge_59a845d6ce9bc5542f76,kg_datasetrecord_dr_a8218ab8101b870ac9b7,has_repeat_unit,kg_repeatunit_ru_a3d291797bb8f5f5d6e5,1.0,[],{},strict,true
edge_59a967c49734a79b7b0a,kg_datasetrecord_dr_98c9016ff57c79d22738,has_repeat_unit,kg_repeatunit_ru_95c2cc9ee07d26114744,1.0,[],{},strict,true
edge_59a9ae32b3fbbe90409f,kg_repeatunit_ru_a36af54e0e32e432cbc7,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59aa58b79fcac5ed515d,kg_repeatunit_ru_a5a7afbf7384fa244e82,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59b07fc6e68978f3168f,kg_datasetrecord_dr_fd8eab5d1dadc60a13d7,has_repeat_unit,kg_repeatunit_ru_796ed8a4d9010acc3963,1.0,[],{},strict,true
edge_59b51b1f2e7ac4a30f33,kg_datasetrecord_dr_c144076b1eab693c0c35,has_repeat_unit,kg_repeatunit_ru_3b105b4c0ba7063d0656,1.0,[],{},strict,true
edge_59be1542a82364866e5f,kg_repeatunit_ru_80c3cc5edda05ce70aec,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59c1a5e1270e77d41e4e,kg_repeatunit_ru_f8e5f2e01759ed28639d,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59c493ee5b04a8d077c9,kg_repeatunit_ru_40861d790a157a189a86,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59ca3c659a5c5570ffe9,kg_repeatunit_ru_c22227931b4d7e53baf8,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_59ce37c9228598d6e25a,kg_repeatunit_ru_f06c135c6d773556f6b3,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
