+ torchrun --standalone --nproc_per_node=3 scripts/pretrain_mts_glt_distill.py --config configs/mts/glt_distill_repair_c2.json --stage teacher
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] 
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] *****************************************
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 teacher step=1100/5000 loss=0.08240 lr=1.733e-04
n_plus_2 teacher step=1120/5000 loss=0.07308 lr=1.724e-04
n_plus_2 teacher step=1140/5000 loss=0.07626 lr=1.716e-04
n_plus_2 teacher step=1160/5000 loss=0.07138 lr=1.707e-04
n_plus_2 teacher step=1180/5000 loss=0.07933 lr=1.698e-04
n_plus_2 teacher step=1200/5000 loss=0.07467 lr=1.689e-04
n_plus_2 teacher step=1220/5000 loss=0.06734 lr=1.680e-04
n_plus_2 teacher step=1240/5000 loss=0.07117 lr=1.671e-04
n_plus_2 teacher step=1260/5000 loss=0.08077 lr=1.662e-04
n_plus_2 teacher step=1280/5000 loss=0.07936 lr=1.653e-04
n_plus_2 teacher step=1300/5000 loss=0.07365 lr=1.644e-04
n_plus_2 teacher step=1320/5000 loss=0.06873 lr=1.636e-04
n_plus_2 teacher step=1340/5000 loss=0.06983 lr=1.627e-04
n_plus_2 teacher step=1360/5000 loss=0.06795 lr=1.618e-04
n_plus_2 teacher step=1380/5000 loss=0.06759 lr=1.609e-04
n_plus_2 teacher step=1400/5000 loss=0.06748 lr=1.600e-04
n_plus_2 teacher step=1420/5000 loss=0.07293 lr=1.591e-04
n_plus_2 teacher step=1440/5000 loss=0.06988 lr=1.582e-04
n_plus_2 teacher step=1460/5000 loss=0.07362 lr=1.573e-04
n_plus_2 teacher step=1480/5000 loss=0.06449 lr=1.564e-04
n_plus_2 teacher step=1500/5000 loss=0.06937 lr=1.556e-04
n_plus_2 teacher step=1520/5000 loss=0.06006 lr=1.547e-04
n_plus_2 teacher step=1540/5000 loss=0.06244 lr=1.538e-04
n_plus_2 teacher step=1560/5000 loss=0.06493 lr=1.529e-04
n_plus_2 teacher step=1580/5000 loss=0.06851 lr=1.520e-04
n_plus_2 teacher step=1600/5000 loss=0.07874 lr=1.511e-04
n_plus_2 teacher step=1620/5000 loss=0.06560 lr=1.502e-04
n_plus_2 teacher step=1640/5000 loss=0.06582 lr=1.493e-04
n_plus_2 teacher step=1660/5000 loss=0.07463 lr=1.484e-04
n_plus_2 teacher step=1680/5000 loss=0.06575 lr=1.476e-04
n_plus_2 teacher step=1700/5000 loss=0.06763 lr=1.467e-04
n_plus_2 teacher step=1720/5000 loss=0.07214 lr=1.458e-04
n_plus_2 teacher step=1740/5000 loss=0.06015 lr=1.449e-04
n_plus_2 teacher step=1760/5000 loss=0.06180 lr=1.440e-04
n_plus_2 teacher step=1780/5000 loss=0.06371 lr=1.431e-04
n_plus_2 teacher step=1800/5000 loss=0.06524 lr=1.422e-04
n_plus_2 teacher step=1820/5000 loss=0.05673 lr=1.413e-04
n_plus_2 teacher step=1840/5000 loss=0.05722 lr=1.404e-04
n_plus_2 teacher step=1860/5000 loss=0.05864 lr=1.396e-04
n_plus_2 teacher step=1880/5000 loss=0.06986 lr=1.387e-04
n_plus_2 teacher step=1900/5000 loss=0.05735 lr=1.378e-04
n_plus_2 teacher step=1920/5000 loss=0.06548 lr=1.369e-04
n_plus_2 teacher step=1940/5000 loss=0.06120 lr=1.360e-04
n_plus_2 teacher step=1960/5000 loss=0.06354 lr=1.351e-04
n_plus_2 teacher step=1980/5000 loss=0.06472 lr=1.342e-04
n_plus_2 teacher step=2000/5000 loss=0.06697 lr=1.333e-04
n_plus_2 teacher step=2020/5000 loss=0.06042 lr=1.324e-04
n_plus_2 teacher step=2040/5000 loss=0.06266 lr=1.316e-04
n_plus_2 teacher step=2060/5000 loss=0.05746 lr=1.307e-04
n_plus_2 teacher step=2080/5000 loss=0.05405 lr=1.298e-04
n_plus_2 teacher step=2100/5000 loss=0.06096 lr=1.289e-04
n_plus_2 teacher step=2120/5000 loss=0.05833 lr=1.280e-04
n_plus_2 teacher step=2140/5000 loss=0.06024 lr=1.271e-04
n_plus_2 teacher step=2160/5000 loss=0.05770 lr=1.262e-04
n_plus_2 teacher step=2180/5000 loss=0.06489 lr=1.253e-04
n_plus_2 teacher step=2200/5000 loss=0.06678 lr=1.244e-04
n_plus_2 teacher step=2220/5000 loss=0.05466 lr=1.236e-04
n_plus_2 teacher step=2240/5000 loss=0.06065 lr=1.227e-04
n_plus_2 teacher step=2260/5000 loss=0.05254 lr=1.218e-04
n_plus_2 teacher step=2280/5000 loss=0.06007 lr=1.209e-04
n_plus_2 teacher step=2300/5000 loss=0.05752 lr=1.200e-04
n_plus_2 teacher step=2320/5000 loss=0.05935 lr=1.191e-04
n_plus_2 teacher step=2340/5000 loss=0.05731 lr=1.182e-04
n_plus_2 teacher step=2360/5000 loss=0.05882 lr=1.173e-04
n_plus_2 teacher step=2380/5000 loss=0.06630 lr=1.164e-04
n_plus_2 teacher step=2400/5000 loss=0.06212 lr=1.156e-04
n_plus_2 teacher step=2420/5000 loss=0.06289 lr=1.147e-04
n_plus_2 teacher step=2440/5000 loss=0.06402 lr=1.138e-04
n_plus_2 teacher step=2460/5000 loss=0.05684 lr=1.129e-04
n_plus_2 teacher step=2480/5000 loss=0.05970 lr=1.120e-04
n_plus_2 teacher step=2500/5000 loss=0.05995 lr=1.111e-04
n_plus_2 teacher step=2520/5000 loss=0.05279 lr=1.102e-04
n_plus_2 teacher step=2540/5000 loss=0.05410 lr=1.093e-04
n_plus_2 teacher step=2560/5000 loss=0.05862 lr=1.084e-04
n_plus_2 teacher step=2580/5000 loss=0.05629 lr=1.076e-04
n_plus_2 teacher step=2600/5000 loss=0.05417 lr=1.067e-04
n_plus_2 teacher step=2620/5000 loss=0.05419 lr=1.058e-04
n_plus_2 teacher step=2640/5000 loss=0.05722 lr=1.049e-04
n_plus_2 teacher step=2660/5000 loss=0.05354 lr=1.040e-04
n_plus_2 teacher step=2680/5000 loss=0.05486 lr=1.031e-04
n_plus_2 teacher step=2700/5000 loss=0.05490 lr=1.022e-04
n_plus_2 teacher step=2720/5000 loss=0.05949 lr=1.013e-04
n_plus_2 teacher step=2740/5000 loss=0.05672 lr=1.004e-04
n_plus_2 teacher step=2760/5000 loss=0.05200 lr=9.956e-05
n_plus_2 teacher step=2780/5000 loss=0.05881 lr=9.867e-05
n_plus_2 teacher step=2800/5000 loss=0.06618 lr=9.778e-05
n_plus_2 teacher step=2820/5000 loss=0.05776 lr=9.689e-05
n_plus_2 teacher step=2840/5000 loss=0.05141 lr=9.600e-05
n_plus_2 teacher step=2860/5000 loss=0.05110 lr=9.511e-05
n_plus_2 teacher step=2880/5000 loss=0.05743 lr=9.422e-05
n_plus_2 teacher step=2900/5000 loss=0.05865 lr=9.333e-05
n_plus_2 teacher step=2920/5000 loss=0.05266 lr=9.244e-05
n_plus_2 teacher step=2940/5000 loss=0.05259 lr=9.156e-05
n_plus_2 teacher step=2960/5000 loss=0.05460 lr=9.067e-05
n_plus_2 teacher step=2980/5000 loss=0.04969 lr=8.978e-05
n_plus_2 teacher step=3000/5000 loss=0.05182 lr=8.889e-05
n_plus_2 teacher step=3020/5000 loss=0.05413 lr=8.800e-05
n_plus_2 teacher step=3040/5000 loss=0.05218 lr=8.711e-05
n_plus_2 teacher step=3060/5000 loss=0.05371 lr=8.622e-05
n_plus_2 teacher step=3080/5000 loss=0.05317 lr=8.533e-05
n_plus_2 teacher step=3100/5000 loss=0.05277 lr=8.445e-05
n_plus_2 teacher step=3120/5000 loss=0.05818 lr=8.356e-05
n_plus_2 teacher step=3140/5000 loss=0.05062 lr=8.267e-05
n_plus_2 teacher step=3160/5000 loss=0.05325 lr=8.178e-05
n_plus_2 teacher step=3180/5000 loss=0.05028 lr=8.089e-05
n_plus_2 teacher step=3200/5000 loss=0.05022 lr=8.000e-05
n_plus_2 teacher step=3220/5000 loss=0.04925 lr=7.911e-05
n_plus_2 teacher step=3240/5000 loss=0.05230 lr=7.822e-05
n_plus_2 teacher step=3260/5000 loss=0.05433 lr=7.733e-05
n_plus_2 teacher step=3280/5000 loss=0.04638 lr=7.645e-05
n_plus_2 teacher step=3300/5000 loss=0.04778 lr=7.556e-05
n_plus_2 teacher step=3320/5000 loss=0.05044 lr=7.467e-05
n_plus_2 teacher step=3340/5000 loss=0.05188 lr=7.378e-05
n_plus_2 teacher step=3360/5000 loss=0.06092 lr=7.289e-05
n_plus_2 teacher step=3380/5000 loss=0.05119 lr=7.200e-05
n_plus_2 teacher step=3400/5000 loss=0.04862 lr=7.111e-05
n_plus_2 teacher step=3420/5000 loss=0.05492 lr=7.022e-05
n_plus_2 teacher step=3440/5000 loss=0.05452 lr=6.933e-05
n_plus_2 teacher step=3460/5000 loss=0.05011 lr=6.845e-05
n_plus_2 teacher step=3480/5000 loss=0.05244 lr=6.756e-05
n_plus_2 teacher step=3500/5000 loss=0.05156 lr=6.667e-05
n_plus_2 teacher step=3520/5000 loss=0.04817 lr=6.578e-05
n_plus_2 teacher step=3540/5000 loss=0.05627 lr=6.489e-05
n_plus_2 teacher step=3560/5000 loss=0.05105 lr=6.400e-05
n_plus_2 teacher step=3580/5000 loss=0.05044 lr=6.311e-05
n_plus_2 teacher step=3600/5000 loss=0.05219 lr=6.222e-05
n_plus_2 teacher step=3620/5000 loss=0.04605 lr=6.133e-05
n_plus_2 teacher step=3640/5000 loss=0.04693 lr=6.045e-05
n_plus_2 teacher step=3660/5000 loss=0.04769 lr=5.956e-05
n_plus_2 teacher step=3680/5000 loss=0.05375 lr=5.867e-05
n_plus_2 teacher step=3700/5000 loss=0.04903 lr=5.778e-05
n_plus_2 teacher step=3720/5000 loss=0.05203 lr=5.689e-05
n_plus_2 teacher step=3740/5000 loss=0.04674 lr=5.600e-05
n_plus_2 teacher step=3760/5000 loss=0.05233 lr=5.511e-05
n_plus_2 teacher step=3780/5000 loss=0.04436 lr=5.422e-05
n_plus_2 teacher step=3800/5000 loss=0.04969 lr=5.333e-05
n_plus_2 teacher step=3820/5000 loss=0.05095 lr=5.245e-05
n_plus_2 teacher step=3840/5000 loss=0.05034 lr=5.156e-05
